node_id,latitude,longitude
20973982,53.2156714,8.6520632
20973983,53.2228475,8.6458068
20973984,53.2300056,8.6415841
20973985,53.2402391,8.6376088
20973986,53.2490619,8.6358268
20973987,53.2600457,8.6356746
20973988,53.2702855,8.6361298
20973989,53.2774468,8.6343721
26022298,53.2279589,8.6426396
26022299,53.2273156,8.6427941
26082972,53.2281611,8.6446575
26082973,53.2277142,8.6447235
26082974,53.2274923,8.6421527
26082982,53.2273777,8.6344075
26083003,53.2293124,8.614668
26083008,53.2289254,8.6048643
26083009,53.2282839,8.6027184
26083014,53.2253536,8.5950841
26083016,53.2253081,8.5940216
26083019,53.2230718,8.5932479
26083022,53.2199417,8.5897553
26083025,53.2172184,8.5866928
26083027,53.2163383,8.5894431
26083029,53.2189697,8.5921355
26083046,53.230553,8.595171
26083048,53.2319703,8.5951961
26083051,53.2313208,8.5910834
26083053,53.231258,8.5768637
26083057,53.2311067,8.5727789
26083060,53.2310288,8.5697351
26083061,53.2310597,8.5649341
26083062,53.2311564,8.5624601
26083063,53.2314307,8.5579134
26083064,53.231886,8.5504706
26083065,53.2320007,8.5478026
26083066,53.2317286,8.5457002
26083067,53.2308437,8.5435698
26083068,53.2293139,8.5415049
26083069,53.2271537,8.5386785
26083070,53.2254603,8.5365624
26083071,53.2240951,8.5346755
26083072,53.2234946,8.5335124
26083073,53.2231089,8.5325351
26083074,53.2224725,8.5300032
29765883,53.2346471,8.5272962
29765884,53.2340629,8.5266895
29765886,53.2331417,8.5265574
29765887,53.2326536,8.5267399
29765888,53.2321755,8.5271292
29765969,53.2467278,8.5934865
29765970,53.2484483,8.5949349
29765972,53.2511395,8.5961471
29765973,53.2528501,8.5968769
29765974,53.2544758,8.5977029
29765976,53.2577878,8.5996556
29765988,53.2716718,8.5988884
29765992,53.2715702,8.5968197
29766153,53.2288595,8.5881845
29766165,53.2238138,8.5341659
30501890,53.2251738,8.6440626
31435449,53.2338787,8.5138541
31435450,53.2334972,8.5139306
31435551,53.2558817,8.5637789
80216617,53.2288824,8.6511231
80218285,53.2380462,8.6541512
80218288,53.2439146,8.6556657
80218295,53.2439955,8.6571495
91345146,53.2286987,8.6561941
91345150,53.2285216,8.6507883
91345151,53.2280952,8.6475984
91345154,53.2277392,8.6449316
91345590,53.2287231,8.6510029
91345591,53.2286204,8.6509514
91346494,53.2286061,8.6514463
91346495,53.2286563,8.6511917
91346496,53.228754,8.6511231
91348009,53.2280923,8.644782
91348011,53.2284838,8.6445876
91348012,53.228833,8.6443054
91348013,53.2290684,8.6439685
91348014,53.2291666,8.6436564
91348016,53.2292649,8.643106
91348017,53.2293566,8.6425144
91348018,53.2295617,8.6420391
91348019,53.2297158,8.6418733
91348020,53.2299377,8.6417307
91348662,53.2256094,8.6435786
91354722,53.2298931,8.6651459
91354723,53.230836,8.6696181
91354725,53.2308255,8.6709332
91354727,53.2300977,8.683503
144098166,53.2281787,8.6425254
237797115,53.2094471,8.6602649
252416598,53.2313082,8.5444755
252416599,53.2327925,8.5412831
252416600,53.2317139,8.534333
252416601,53.2314176,8.5279705
252416602,53.2248235,8.5330641
252416603,53.2254199,8.5341689
252416604,53.226024,8.5351304
252416605,53.2270688,8.5362933
252416606,53.2285115,8.5377868
252416607,53.2294819,8.5391323
252416608,53.2305878,8.5408736
252416609,53.2319437,8.5431963
252416610,53.2294941,8.6078989
252416611,53.2300754,8.607758
252416612,53.2306822,8.6073571
252416613,53.2312594,8.6068711
252416614,53.2318266,8.6060708
252416615,53.2322749,8.6052573
252416618,53.2353467,8.5979496
252416620,53.2356958,8.5955707
252416621,53.2357281,8.5949058
252416623,53.219027,8.6488039
252416625,53.2172561,8.6504449
252416627,53.2130008,8.6551828
252416629,53.2079077,8.6629068
256327746,53.2227917,8.6048187
257595046,53.2425274,8.5579879
257595056,53.2432266,8.559485
257595068,53.2445012,8.5635489
257595070,53.2448172,8.5615979
257595228,53.2650565,8.5995404
257595231,53.2625027,8.5957341
257942386,53.2811288,8.6324448
257942401,53.2794796,8.6334174
257942472,53.2749771,8.635235
257942490,53.2738871,8.6355406
257942492,53.2724169,8.6358582
257942522,53.2675421,8.6361886
257942530,53.2643544,8.6359969
257942603,53.2584295,8.6355389
257942608,53.255408,8.635451
257942616,53.252665,8.6355143
257942633,53.247039,8.6361005
257942744,53.2367752,8.6387099
257942889,53.2270776,8.6408558
257943039,53.2262886,8.6427296
259251678,53.2159594,8.5852738
259433224,53.2166566,8.6735822
259436346,53.2113744,8.6479017
259436347,53.2124436,8.6489059
259436348,53.2135868,8.6500115
259436349,53.2154247,8.6517641
259436350,53.2158512,8.6521589
259436351,53.216394,8.6528019
259436352,53.2166788,8.6532123
259436353,53.2179154,8.6558486
259436354,53.2185818,8.6572531
259436355,53.2193524,8.6588076
259436356,53.2200192,8.6602528
259436357,53.2203706,8.6609678
259436358,53.220564,8.6612741
259436359,53.2210465,8.6618014
259436363,53.2205597,8.6726503
259436587,53.2229912,8.6629977
259436588,53.223598,8.6633185
259436589,53.2260469,8.6641522
259436590,53.2271376,8.664495
259436591,53.2278721,8.6647295
259437173,53.2126598,8.6553849
259437182,53.2103721,8.6585779
259562241,53.2244651,8.663635
259698681,53.2236261,8.5337941
262208557,53.2297712,8.4944949
265630486,53.2257897,8.6220941
265630487,53.2263346,8.622877
265630488,53.2272727,8.6235467
265630489,53.228083,8.6236089
265630491,53.228267,8.6237117
265630493,53.2291579,8.6258965
265630495,53.229553,8.6264625
265630496,53.2298163,8.6269608
265630499,53.2313199,8.6320926
265630500,53.2316526,8.6336496
265630501,53.232359,8.6353869
265630502,53.2325229,8.6358575
265630504,53.2274889,8.638981
265630510,53.2298369,8.6334133
268331007,53.2341034,8.5139196
268331008,53.2342519,8.5142039
268331009,53.234404,8.5149366
268331010,53.2345007,8.5154992
268331013,53.2348676,8.5194064
268331014,53.2347209,8.5201426
268331015,53.2339428,8.5218269
268331016,53.2333504,8.5227525
268331017,53.2331416,8.5233116
268331018,53.2330712,8.5257152
268332382,53.2491478,8.5857624
268332383,53.2449134,8.588778
268332385,53.2436574,8.5907834
268332569,53.2495709,8.5954779
268332570,53.2511566,8.5904709
268332783,53.2517106,8.5819324
268332784,53.2536297,8.5774838
268332897,53.2538351,8.5765396
268332898,53.254979,8.5682409
268332899,53.2548571,8.5686372
268332900,53.2537324,8.5760246
268845882,53.2545746,8.6050339
268845883,53.2534637,8.5971694
270168129,53.212687,8.5998364
270168147,53.2160161,8.5853358
270168151,53.2157954,8.5862958
270247482,53.2338088,8.665572
270247484,53.2337321,8.6664764
270689571,53.2296249,8.495989
270689572,53.2293437,8.499427
270689573,53.2292181,8.5021063
270689574,53.2292055,8.5036834
271849191,53.2421622,8.6549248
271899153,53.2719313,8.6089394
271899166,53.2723426,8.6071643
271899169,53.2724478,8.6058657
271899173,53.2723695,8.6040101
271899174,53.2722092,8.6023336
271899175,53.2720044,8.6012744
271899182,53.2713333,8.596693
271899191,53.2708372,8.5967874
271899203,53.2619374,8.5880769
271899221,53.2572369,8.5892741
271899230,53.2571619,8.5923023
271899235,53.2528086,8.5923122
271899244,53.2487294,8.5847402
271899250,53.2467243,8.581089
271899253,53.2458186,8.579415
271899254,53.2452513,8.5790209
271899255,53.2448918,8.578865
271899257,53.2442164,8.5791351
271899258,53.2416445,8.5814493
271899262,53.2466032,8.5808456
271899264,53.2470034,8.5815507
271899268,53.2425532,8.5726545
271899269,53.2424478,8.5716998
271899273,53.2414012,8.5699001
271899276,53.2402838,8.5680552
271899285,53.2383349,8.5649066
271899286,53.2382093,8.5634385
271899291,53.2383685,8.5617611
271899292,53.2385586,8.5600505
271899294,53.2385226,8.5593495
271899296,53.2383785,8.5567254
271899299,53.2392487,8.556206
271899303,53.2402405,8.5554308
271899305,53.2398074,8.5541748
271899308,53.2402968,8.5556516
271899313,53.2399027,8.5519617
271899314,53.2398464,8.5505802
271899315,53.2397381,8.5498873
271899317,53.2385645,8.5479134
271899318,53.2384315,8.5476579
271899322,53.2395779,8.5451796
271899323,53.2397728,8.5446166
271899325,53.2397684,8.5441056
271899326,53.2396991,8.5436725
271899330,53.238742,8.539398
271899331,53.2384822,8.5386747
271899332,53.2383652,8.5380511
271899334,53.23815,8.5343855
271899350,53.2382531,8.535877
271899354,53.2372717,8.534326
271899356,53.2368644,8.534159
271899357,53.236358,8.533811
271899358,53.2361132,8.5335009
271899359,53.2357468,8.5326897
271899362,53.2353416,8.5310113
271899363,53.234949,8.529898
271899365,53.2365068,8.5339219
271899367,53.2362042,8.5340017
271899368,53.234731,8.5288316
271899370,53.2347057,8.5280784
271899371,53.234748,8.5273915
271899372,53.23484,8.5299383
271933838,53.243056,8.6774134
271934601,53.2439424,8.6487839
271934671,53.2439464,8.652255
271934672,53.2439746,8.6537195
274944988,53.2318965,8.5240158
274944989,53.2311855,8.5236217
274944990,53.2301419,8.5230887
274944991,53.2293757,8.5226931
274944992,53.2285494,8.5222361
274944996,53.2320311,8.5231112
274944997,53.230996,8.5256501
274944998,53.2284474,8.5233033
274944999,53.2296584,8.518857
276590220,53.2255648,8.5827267
276590221,53.2255743,8.5836931
276590225,53.2253329,8.588004
276594165,53.2247765,8.5903878
276595693,53.2268007,8.5855389
276597075,53.2262622,8.5862402
276597076,53.2265322,8.5864011
276597077,53.2267242,8.5868289
276597078,53.2267519,8.587566
276598245,53.2239265,8.5886023
276598254,53.2268471,8.5887566
277354516,53.2275791,8.5823355
277355536,53.2219198,8.5919952
279248658,53.2223353,8.6021948
279248659,53.2219165,8.6024011
279248660,53.2208185,8.6026092
279248674,53.2190909,8.6034485
279248677,53.2218838,8.6042006
279248678,53.2219581,8.6028918
279248721,53.2197763,8.6017533
280829057,53.2307516,8.6722538
280829059,53.2343038,8.6729514
280829061,53.2408743,8.677615
280829213,53.2251899,8.6716052
280829235,53.2261405,8.6713477
280829928,53.229961,8.6654113
280830225,53.2317247,8.653813
280830226,53.230519,8.6576392
280830227,53.2288741,8.6603235
280830305,53.2274164,8.6585364
280830747,53.2384146,8.6758119
280831619,53.2301382,8.6280833
280831647,53.2302317,8.628796
280831788,53.2299687,8.630196
280831790,53.2298502,8.6310759
280831794,53.2299243,8.6327082
280832239,53.2296936,8.6336687
280832243,53.2294848,8.6337466
280832247,53.2285516,8.6336168
280833289,53.2289896,8.6254863
280833577,53.2266064,8.6297159
280833583,53.2299979,8.6275058
280833585,53.2298502,8.6317111
280833586,53.2295594,8.633731
280833753,53.2298407,8.6314865
280833760,53.2282061,8.6338826
280834452,53.2247635,8.6092552
280834460,53.2177044,8.6139309
280834462,53.218514,8.6135204
280834464,53.2191518,8.6129399
280834465,53.2204305,8.6118271
280834849,53.2296336,8.6121876
280834852,53.228403,8.6084173
280835029,53.2232388,8.6074376
280835107,53.2262035,8.6090667
280836409,53.2218469,8.5958595
280836542,53.2218371,8.5981693
280836598,53.2173165,8.6004033
280836730,53.2194152,8.599846
280837388,53.2213766,8.6025566
280837390,53.2211198,8.600995
280837392,53.2210042,8.6007638
280837394,53.2209321,8.6006919
280837396,53.2198006,8.600898
280837837,53.2185291,8.6025988
280838661,53.2181106,8.5950366
280838662,53.2181866,8.5941007
280838663,53.2183082,8.5937504
280838667,53.218279,8.5959155
280838764,53.218159,8.5953713
280838765,53.2192691,8.5987644
280838831,53.2218711,8.5930089
280838833,53.2193187,8.5912975
280838947,53.2196572,8.5947876
280839360,53.2161025,8.5898037
280839361,53.2158961,8.5898129
280839363,53.2150951,8.5894204
280839622,53.2173325,8.598527
280839674,53.2173136,8.6027667
280840137,53.2163228,8.6006826
280840141,53.2163286,8.5973281
280840926,53.2200508,8.6090919
280840928,53.2179672,8.6073914
280840930,53.2171176,8.6051625
280840946,53.2196987,8.6088031
280840948,53.2169846,8.6044991
280840993,53.2177488,8.6065455
280841538,53.2167622,8.6005725
280841655,53.216203,8.5950553
280842335,53.2154266,8.5945077
280843576,53.214127,8.593181
280843577,53.2143925,8.5921738
280844196,53.2173301,8.5971841
280844455,53.2188273,8.5973356
280844456,53.2185534,8.5978058
280844457,53.2180331,8.5982666
280844459,53.2163331,8.5984174
280844894,53.2240441,8.5992981
280844940,53.2236271,8.5992673
280845866,53.2290108,8.5948885
280846331,53.2265564,8.5943199
280846969,53.2237923,8.6072268
280846970,53.2238539,8.6071034
280846972,53.2247435,8.6007772
280847152,53.2255118,8.596454
280847988,53.2218533,8.5952719
280847989,53.2228718,8.595474
280847990,53.2232925,8.5949317
280847992,53.2246656,8.5953615
280847993,53.2246048,8.59616
280847994,53.2254891,8.5963236
280848287,53.2193387,8.5949222
280849342,53.2330846,8.6033682
280849344,53.2310524,8.600894
280849345,53.2298519,8.5950623
280849553,53.2334724,8.5951464
280849598,53.2344542,8.600144
280850103,53.2317053,8.5803774
280850104,53.2320284,8.5825096
280850126,53.2324337,8.5798616
280850345,53.2330712,8.582247
280850346,53.2326479,8.5823562
280850348,53.23128,8.5827008
280850349,53.2330045,8.5810832
280851980,53.2383607,8.5931419
280852632,53.2310178,8.5683557
280853811,53.2334849,8.5464425
280853812,53.2322444,8.5481978
280853839,53.2319947,8.5485029
280853919,53.2312784,8.5604189
280853952,53.2344063,8.5420945
280854286,53.2301274,8.5346874
280854289,53.2295403,8.5297572
280854493,53.23157,8.5317514
280854496,53.2329961,8.5425813
280854765,53.2320729,8.5371207
280854768,53.2309451,8.5397116
280854832,53.2304423,8.5406468
280854853,53.2286222,8.537957
280854947,53.2326181,8.5402111
280854948,53.2320096,8.5407997
280855073,53.2343329,8.5365896
280855075,53.2332055,8.5375512
280855076,53.2321202,8.5371544
280855130,53.2298971,8.5351964
280855133,53.2335802,8.5376063
280855184,53.2355489,8.5348852
280855255,53.2311692,8.5393033
280855436,53.2298251,8.5375101
280855438,53.2309066,8.5375771
280855477,53.2308052,8.5380414
280855482,53.230487,8.5384746
280855512,53.229884,8.5371632
280855691,53.2293274,8.5364002
280855796,53.2313593,8.5387287
280855797,53.2300802,8.5367379
280855904,53.2317766,8.5348666
280855905,53.2314295,8.534751
280855906,53.2304729,8.5340263
280856004,53.2351504,8.5359859
280856053,53.2336213,8.5309727
280856054,53.2323609,8.5312581
280856238,53.2341525,8.5301834
280856240,53.23374,8.5307681
280856241,53.2315635,8.5315385
280856634,53.230491,8.5257045
280856637,53.2322263,8.5182751
280856639,53.2324079,8.5148344
280856662,53.2326196,8.5137366
280856676,53.2321164,8.5204074
280856678,53.2323346,8.5172671
280856679,53.228206,8.5259621
280856932,53.2291672,8.5235228
280856941,53.2289192,8.5258734
280857205,53.2285514,8.5292536
280857707,53.2307011,8.5233809
280857710,53.2311188,8.5197003
280857714,53.2322673,8.5148439
280858234,53.2306346,8.5160165
280858235,53.2315865,8.5159852
280858237,53.2314947,8.5162825
280859214,53.2285316,8.5156864
280859219,53.2280112,8.512298
280859238,53.232546,8.5140207
280859452,53.2295592,8.5151304
280859453,53.2310413,8.5143576
280859455,53.2318336,8.5142815
280859889,53.2292125,8.511976
280879339,53.2333473,8.5951499
280879870,53.2343227,8.5951162
280880327,53.2282253,8.5917806
280880329,53.2287332,8.5948249
280880394,53.2285381,8.5934837
280880441,53.2266782,8.5927652
280880443,53.2271388,8.5926598
280880445,53.2271814,8.5927106
280880447,53.2272536,8.5931537
280880448,53.2274832,8.5933312
280880449,53.2284322,8.592932
281051773,53.2365227,8.5944285
281052095,53.2234044,8.5934805
281052239,53.2232183,8.5962593
281052240,53.2244806,8.5965967
281052329,53.22383,8.5964265
281052508,53.2243395,8.5937966
281052561,53.2244875,8.5938339
281054281,53.217854,8.5895675
281054282,53.2167048,8.5882649
281054283,53.2164084,8.5877783
281054286,53.2164914,8.5874039
281054287,53.2163373,8.5869471
281057043,53.2264461,8.5890869
281057319,53.2269831,8.5944129
281057320,53.2264561,8.5920981
281057818,53.2288337,8.5867834
281057820,53.230066,8.5867023
281057821,53.2300157,8.586122
281057822,53.2299049,8.5856395
281057823,53.2297208,8.5852519
281057825,53.2294924,8.5850144
281057827,53.228816,8.5849047
281059082,53.2312785,8.5823552
281059145,53.2312833,8.5851929
281059232,53.2411877,8.5911695
281059234,53.2411712,8.5818967
281059752,53.2458974,8.5880345
281063104,53.2219749,8.5259935
281063712,53.2261259,8.5908541
281063713,53.2264998,8.5908241
281063714,53.226738,8.5908539
281063715,53.2275326,8.5903998
281063718,53.2281469,8.5904863
281063719,53.2284632,8.5904805
281063720,53.2287626,8.5903523
281063721,53.2289873,8.5900645
281224537,53.2329779,8.5109827
281224538,53.2330802,8.5114913
281224540,53.2326963,8.5137727
281224544,53.2321813,8.5110927
281224570,53.2315787,8.5131813
281224572,53.2316275,8.5122619
281224645,53.2355282,8.5242507
281224647,53.2331017,8.5243419
281224913,53.2298066,8.5108675
281224915,53.2306962,8.5110921
281224916,53.2310752,8.5114104
281224917,53.2316126,8.5125987
281224918,53.2319141,8.5113119
281225103,53.2304742,8.5110093
281225138,53.2292665,8.51356
281225139,53.2293197,8.5152587
281225202,53.2300386,8.514875
281225490,53.2345078,8.5165035
281225576,53.2342937,8.5233444
281225577,53.234442,8.5216578
281225578,53.2342532,8.5211605
281225579,53.2337457,8.5233093
281225589,53.2342027,8.5242087
281225722,53.2348491,8.5220661
281225914,53.2336427,8.5423602
281225915,53.2335319,8.5414457
281225916,53.2344076,8.5411367
281227032,53.2326147,8.5352146
281227034,53.2329228,8.5374106
281227557,53.2318003,8.5275253
281228195,53.2299479,8.5179906
281228569,53.233081,8.5253153
281907746,53.2126947,8.6016641
282422403,53.2273569,8.6020355
282422408,53.2270377,8.6024321
282422415,53.226663,8.6028734
282422417,53.2279297,8.6017643
282422900,53.2244768,8.6036542
282422901,53.224888,8.6037961
282422904,53.2269606,8.6027496
282422974,53.2258543,8.5987095
282423176,53.2259483,8.603196
282423198,53.2255881,8.6037173
282423370,53.2246478,8.6020306
282424089,53.2254522,8.5961036
282424092,53.2259065,8.5975066
282424185,53.22815,8.5917901
282424221,53.2299526,8.588848
282424223,53.2299268,8.5903321
282424244,53.2304466,8.590247
282424556,53.2305778,8.589167
282425329,53.227067,8.5886296
282425774,53.2280138,8.590433
282476788,53.2311154,8.6723304
282477120,53.2308331,8.6722737
282478199,53.2164402,8.6285137
282478570,53.2261535,8.5942199
282512881,53.2301014,8.5293345
283296003,53.2302238,8.6289406
283296007,53.2298744,8.6308801
283331400,53.2674501,8.6004661
283331403,53.268041,8.5996099
283331682,53.2676075,8.6001066
289609005,53.2164512,8.5871307
289612648,53.2133242,8.6083269
289612874,53.2127838,8.6053039
289612876,53.2128928,8.6060027
289613494,53.2137454,8.6091577
289613495,53.2139374,8.609433
289613497,53.2159619,8.6113426
289613500,53.2171492,8.6131024
289614088,53.2171006,8.6087286
289614091,53.2171793,8.6083847
289614092,53.217523,8.6081964
289614093,53.2176412,8.6080505
289614094,53.2179059,8.6074784
289614147,53.2180856,8.6074944
290209641,53.2234091,8.6224416
290210414,53.2295067,8.6136242
290210416,53.2296433,8.60991
290210440,53.2291516,8.6058679
290210553,53.2271233,8.5998925
290210620,53.2254011,8.5956157
290465460,53.2356527,8.5221697
290465461,53.2343639,8.5225551
290465468,53.2339663,8.5266212
290465479,53.2348334,8.5187859
290465493,53.227934,8.5397321
290468818,53.2252878,8.5931447
290468819,53.2257637,8.5941347
290468820,53.2253247,8.5946355
294996302,53.2372075,8.6749642
294996307,53.2354204,8.6665448
294996308,53.2351456,8.6659369
297870916,53.2440048,8.6566843
298260959,53.2292741,8.671933
298260989,53.2306921,8.6733173
298261844,53.2384172,8.6542174
298261853,53.2338081,8.6653445
